"id";"city";"area_sqkm";"population";"pop_per_sqkm";"fountains_osm";"fountains_per_1000";"fountains_official";"mean_quality";"official_vs_osm"
"1";1;"Berlin";891.12;3677472;4127;220;0.06;172;0.529;48
"2";2;"Hamburg";755.09;1853935;2455;89;0.05;NA;0.164;NA
"3";3;"München";310.7;1487708;4788;52;0.03;NA;0.218;NA
"4";4;"Köln";405.01;1073096;2650;61;0.06;13;0.115;48
"5";5;"Frankfurt am Main";248.31;759224;3058;52;0.07;13;0.237;39
"6";6;"Stuttgart";207.33;626275;3021;62;0.1;83;0.21;-21
"7";7;"Düsseldorf";217.41;619477;2849;68;0.11;11;0.098;57
"8";8;"Leipzig";297.8;601866;2021;18;0.03;15;0.333;3
"9";9;"Dortmund";280.71;586852;2091;33;0.06;NA;0.131;NA
"10";10;"Essen";210.34;579432;2755;6;0.01;NA;0.612;NA
"11";11;"Bremen";317.84;563290;1772;10;0.02;NA;0.234;NA
"12";12;"Dresden";328.49;555351;1691;18;0.03;NA;0.221;NA
"13";13;"Hannover";204.3;535932;2623;19;0.04;19;0.333;0
"14";14;"Nürnberg";186.44;510632;2739;36;0.07;NA;0.323;NA
"15";15;"Duisburg";232.79;495152;2127;1;0;NA;0;NA
"16";16;"Bochum";145.66;363441;2495;10;0.03;NA;0.232;NA
"17";17;"Wuppertal";168.39;354572;2106;11;0.03;NA;0.121;NA
"18";18;"Bielefeld";258.83;334002;1290;4;0.01;NA;0;NA
"19";19;"Bonn";141.06;331885;2353;70;0.21;NA;0.028;NA
"20";20;"Münster";303.28;317713;1048;6;0.02;NA;0.165;NA
"21";21;"Mannheim";144.97;311831;2151;18;0.06;NA;0.241;NA
"22";22;"Karlsruhe";173.42;306502;1767;59;0.19;11;0.095;48
"23";23;"Augsburg";146.85;296478;2019;35;0.12;25;0.343;10
"24";24;"Wiesbaden";203.87;278950;1368;16;0.06;NA;0.206;NA
"25";25;"Mönchengladbach";170.47;261001;1531;NA;NA;NA;NA;NA
"26";26;"Gelsenkirchen";104.94;260126;2479;6;0.02;NA;0.558;NA
"27";27;"Aachen";160.85;249070;1548;14;0.06;NA;0.189;NA
"28";28;"Braunschweig";192.7;248823;1291;5;0.02;NA;0.066;NA
"29";29;"Kiel";118.65;246243;2075;1;0;NA;0;NA
"30";30;"Chemnitz";221.03;243105;1100;8;0.03;NA;0.165;NA
"31";31;"Halle (Saale)";135.01;238061;1763;2;0.01;NA;0.33;NA
"32";32;"Magdeburg";201.03;236188;1175;1;0;NA;0;NA
"33";33;"Freiburg im Breisgau";153.04;231848;1515;71;0.31;NA;0.089;NA
"34";34;"Krefeld";137.78;227050;1648;3;0.01;NA;0.333;NA
"35";35;"Mainz";97.73;217556;2226;11;0.05;NA;0.18;NA
"36";36;"Lübeck";214.19;216277;1010;13;0.06;NA;0.076;NA
"37";37;"Erfurt";269.91;213227;790;12;0.06;NA;0.278;NA
"38";38;"Oberhausen";77.09;208752;2708;4;0.02;NA;0.082;NA
"39";39;"Rostock";181.36;208400;1149;5;0.02;NA;0.066;NA
"40";40;"Kassel";106.79;200406;1877;11;0.05;NA;0.121;NA
"41";41;"Hagen";160.45;188713;1176;1;0.01;NA;0;NA
"42";42;"Potsdam";188.24;183154;973;7;0.04;NA;0.333;NA
"43";43;"Saarbrücken";167.52;179634;1072;12;0.07;NA;0.028;NA
"44";44;"Hamm";226.42;179238;792;2;0.01;NA;0;NA
"45";45;"Ludwigshafen am Rhein";77.43;172145;2223;3;0.02;NA;1;NA
